,spike_x,minsize,eps,label_reference,method,epsilon_scaled,mean_CSI,mean_precision,std_precision,std_CSI
210,1,2,6.0,tcrvalid,ismart,0.2,4.070294085722123,11.270474368086639,0.7531705621153234,0.23841298792575086
211,1,2,6.0,tcrvalid,tcrvalid,1.0,0.6199475060525863,0.8216665261469751,0.18215507809027576,0.13551528219715503
212,1,2,6.5,gliph,ismart,0.4,7.185120325888853,31.234621540881356,1.7526178279968108,0.3876489333326591
213,1,2,6.5,tcrvalid,ismart,0.4,6.279165738456832,26.329989280759566,1.7861023701090024,0.3746374159654879
214,1,2,7.0,gliph,ismart,0.6,8.503210468750412,62.09633131433708,1.6421660647397578,0.11522124182610144
215,1,2,7.0,tcrvalid,ismart,0.6,11.351946799919897,72.30430478738535,1.476274381644939,0.14100395961098802
216,1,2,7.5,gliph,ismart,0.8,4.40026999675924,82.73485389159208,2.071423955891064,0.008810470977133606
217,1,2,7.5,tcrvalid,ismart,0.8,6.424211572598949,86.47970664452113,2.0636939889544053,0.05389041365661292
218,1,2,8.0,gliph,ismart,1.0,1.4621594342133712,88.51431489408792,3.0905775009102734,0.00808085700718653
219,1,2,8.0,tcrvalid,ismart,1.0,0.8956604702759428,82.26103647877487,4.2746826420702915,0.006736175097586938
220,1,2,10.0,gliph,tcrdist,0.0,3.146554014995263,87.99380015134086,1.8276302970412204,0.007831661794658606
221,1,2,10.0,tcrvalid,tcrdist,0.0,4.726920125504461,89.8096190715769,1.211889196647926,0.03219058866404301
222,1,2,12.0,gliph,tcrdist,0.05,7.079370849466743,76.90215390927331,2.070553884953572,0.0991467157270988
223,1,2,12.0,tcrvalid,tcrdist,0.05,8.83867412929791,84.47066811740629,1.6677611533250838,0.1420951247764407
224,1,2,14.0,gliph,tcrdist,0.1,7.079370849466743,76.8766615364268,2.0692188723918274,0.0991467157270988
225,1,2,14.0,tcrvalid,tcrdist,0.1,8.83867412929791,84.44541758477787,1.6740371298045553,0.1420951247764407
226,1,2,16.0,gliph,tcrdist,0.15,7.224971769084126,75.85261512908365,2.141592456415883,0.0909707477470421
227,1,2,16.0,tcrvalid,tcrdist,0.15,9.296063957898221,84.53200731102139,1.7657738161860868,0.03737185688494869
228,1,2,18.0,gliph,tcrdist,0.2,7.529956611119223,72.77496930909844,2.5959991641768188,0.1523668861874613
229,1,2,18.0,tcrvalid,tcrdist,0.2,9.533526861303443,82.14242874862441,2.04931789158397,0.07323264498564032
230,1,2,20.0,gliph,tcrdist,0.25,7.468650169379889,71.68039035802425,2.498849542298768,0.152369977034495
231,1,2,20.0,tcrvalid,tcrdist,0.25,9.594088187103171,82.04280527867702,1.9941103608799478,0.07185545167487717
232,1,2,22.0,gliph,tcrdist,0.3,8.072520828499734,64.33325089945994,2.5478106072761295,0.19228582967101301
233,1,2,22.0,tcrvalid,tcrdist,0.3,10.214034931141459,76.2826350244094,2.3922944190285143,0.07427027960050554
234,1,2,24.0,gliph,tcrdist,0.35,7.490097651526237,38.18746233260981,2.2618334557593234,0.32006981238083476
235,1,2,24.0,tcrvalid,tcrdist,0.35,10.924817820718298,53.07354110000953,1.3605002875578935,0.2486273981470563
236,1,2,26.0,gliph,tcrdist,0.4,7.517685268471931,38.233722789101954,2.2692659818947036,0.31803128298556904
237,1,2,26.0,tcrvalid,tcrdist,0.4,10.950316337181574,52.97407661504151,1.390358245866189,0.2399475982024592
238,1,2,28.0,gliph,tcrdist,0.45,7.666355316488046,37.05112829519605,1.9301233799672781,0.3396225894889961
239,1,2,28.0,tcrvalid,tcrdist,0.45,11.716891362547855,52.59563610926777,1.3534520950123607,0.1966550448852797
240,1,2,30.0,gliph,tcrdist,0.5,7.442613676322625,31.724971530877884,1.1719656037899056,0.22006511432424472
241,1,2,30.0,tcrvalid,tcrdist,0.5,12.003752845511158,48.26199469187078,1.432285752617099,0.29530131052866015
242,1,2,34.0,gliph,tcrdist,0.6,6.477030642179239,21.745874992277813,0.720832027667847,0.23024019896353484
243,1,2,34.0,tcrvalid,tcrdist,0.6,11.147974939329028,36.177471749439064,8.562908753977146,2.615756660465548
244,1,2,38.0,gliph,tcrdist,0.7,4.36348509684898,10.144811757549089,0.663346996523223,0.2974513590390444
245,1,2,38.0,tcrvalid,tcrdist,0.7,2.753919269928544,6.361239184163539,0.3221069132891615,0.13056828445768578
246,1,2,42.0,gliph,tcrdist,0.8,3.433144765246137,6.8664667441119125,0.7666676711384693,0.3734353029741262
247,1,2,42.0,tcrvalid,tcrdist,0.8,2.5276122538285017,5.047588696562977,0.2892815919311061,0.13465927892930984
248,1,2,46.0,gliph,tcrdist,0.9,2.383284634278028,4.0975047878495365,0.16035351213632912,0.08074685979000637
249,1,2,46.0,tcrvalid,tcrdist,0.9,1.7482877182496934,3.0336302803171407,0.15869952187027458,0.08426357156882074
250,1,2,50.0,gliph,tcrdist,1.0,1.3655997215491413,1.9454493454884538,0.0623693487769586,0.04297266294197594
251,1,2,50.0,tcrvalid,tcrdist,1.0,1.090086594017645,1.5811137076317068,0.10052525493844218,0.06461929536263242
252,1,3,0.6,gliph,tcrvalid,0.0,0.5854763306232951,98.53658536585367,3.0851489367496367,0.009680722680793967
253,1,3,0.6,tcrvalid,tcrvalid,0.0,1.8662238804625146,93.53587301587301,1.90622037049577,0.032219665938434
254,1,3,0.88,gliph,tcrvalid,0.05185185185185185,1.1648223930473565,88.21381300691647,2.1355682209419196,0.00019191975538309869
255,1,3,0.88,tcrvalid,tcrvalid,0.05185185185185185,3.2272448476044424,96.24879952883927,1.09677309049512,0.03107809687097302
256,1,3,1.17,gliph,tcrvalid,0.10555555555555554,1.8116070447074768,79.10949174847747,2.423113300353449,0.025979489575187278
257,1,3,1.17,tcrvalid,tcrvalid,0.10555555555555554,4.744450514153841,96.50224818025067,0.7294626872657676,0.02008727955217263
258,1,3,1.45,gliph,tcrvalid,0.15740740740740738,2.6515026650014,77.51793167949782,3.5032802393506235,0.0665738523090068
259,1,3,1.45,tcrvalid,tcrvalid,0.15740740740740738,5.447272898325256,93.85891402263563,1.3395651002026945,0.04038640819248188
260,1,3,1.74,gliph,tcrvalid,0.2111111111111111,3.2967538106110994,71.24760449929569,3.0863182730770724,0.04537665493818414
261,1,3,1.74,tcrvalid,tcrvalid,0.2111111111111111,6.309467232414452,91.85027156978927,1.578640058411921,0.05914865613618398
