,Unnamed: 0,index,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,c-CSI,c-precision,method,eps,minsize,spike_x,label_reference,fold,epsilon_scaled
15,0,8.0,112,71,46.45411812793787,15.695892090741877,46.44791986098334,43.136020872252175,0.6644178677297352,1.4304577464788732,ismart,5.5,3,2,gliph,8,0.0
16,9,,400,289,52.95259501430323,15.794850837760524,52.94778788188413,52.72472350925231,1.5428629815060797,2.9144952711831693,ismart,5.5,2,2,gliph,9,0.0
17,0,9.0,123,83,47.292603187576624,15.794850837760524,47.28721773781547,40.1617024691132,0.6028405027076734,1.2751242705856929,ismart,5.5,3,2,gliph,9,0.0
18,10,,423,310,53.31152902698283,15.62755519215045,53.31152902698283,52.407331374337794,1.6148814390842192,3.030884327642432,ismart,5.5,2,2,gliph,10,0.0
19,0,10.0,134,93,47.40392477514309,15.62755519215045,47.40392477514309,40.06194903988722,0.6541291905151267,1.3807982740021576,ismart,5.5,3,2,gliph,10,0.0
0,1,,529,382,42.00633363979978,10.94085197670855,42.0004086636698,53.8730050854901,2.125051082958725,5.059596205302846,ismart,6.0,2,2,gliph,1,0.2
1,0,1.0,167,113,34.61027684135254,10.94085197670855,34.61381283203923,42.50790233667224,0.786677564364528,2.272727272727273,ismart,6.0,3,2,gliph,1,0.2
2,2,,531,382,41.64453524004086,10.459652706843718,41.63857390949025,53.49492823227939,2.175911737664726,5.225711481844946,ismart,6.0,2,2,gliph,2,0.2
3,0,2.0,174,122,34.351378958120534,10.459652706843718,34.34467259168454,40.83797063988711,0.7661661048115231,2.23081499107674,ismart,6.0,3,2,gliph,2,0.2
4,3,,547,395,42.16978240882624,10.644601082848094,42.16978240882624,53.80690834121364,2.594749208295025,6.153100775193798,ismart,6.0,2,2,gliph,3,0.2
5,0,3.0,178,112,34.63070793748084,10.644601082848094,34.63070793748084,43.721229565414944,1.2871590560833588,3.7168141592920354,ismart,6.0,3,2,gliph,3,0.2
6,4,,527,382,41.54066203514508,10.420923579893747,41.54066203514508,53.38568786393995,2.257866775643645,5.435317265125431,ismart,6.0,2,2,gliph,4,0.2
