,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,c-CSI,c-precision,method,epsilon,chains,minsize,flu_included,feature,sources,mean_features
65,12.0,6.0,91.37888807249573,90.03183933382317,91.37888807249573,83.31119272155725,0.5388194954690179,0.5896542481908336,ESM,2.38,TR,3,True,CDR3,both,True
66,9.0,4.0,94.58731325006124,93.43619887337742,94.58731325006124,85.8088199601961,0.5388194954690179,0.5696530295183843,ESM,2.5,TR,3,True,CDR3,both,True
67,7.0,4.0,97.0364927749204,96.1302963507225,97.0364927749204,80.56035790112222,0.3428851334802841,0.3533568904593639,ESM,2.61,TR,3,True,CDR3,both,True
68,6.0,4.0,98.2120989468528,97.47734508939506,98.2120989468528,75.07747068676717,0.1469507714915503,0.1496259351620947,ESM,2.73,TR,3,True,CDR3,both,True
69,26.0,8.0,3.580562659846547,0.4749725977347461,3.580562659846547,81.43491124260355,2.0460358056265986,57.142857142857146,ESM,0.75,TRA,3,True,CDR3,both,True
70,41.0,11.0,9.024479356960176,0.9864815491413956,9.024479356960176,76.65788141397897,4.238217025940811,46.96356275303644,ESM,0.83,TRA,3,True,CDR3,both,True
71,67.0,13.0,18.88929484837413,3.836317135549872,18.88929484837413,65.04782359517306,4.384362440628426,23.21083172147002,ESM,0.91,TRA,3,True,CDR3,both,True
72,60.0,10.0,30.252100840336134,7.088052612349288,30.252100840336134,58.27588087884183,1.4979905005480454,4.951690821256038,ESM,0.99,TRA,3,True,CDR3,both,True
73,57.0,13.0,44.24552429667519,26.635001826817685,44.24552429667519,53.86049054153264,0.6941907197661673,1.568951279933939,ESM,1.08,TRA,3,True,CDR3,both,True
74,52.0,13.0,59.810010960906105,46.80306905370844,59.810010960906105,53.25694786826461,0.8768724881256851,1.4660965180207697,ESM,1.16,TRA,3,True,CDR3,both,True
75,19.0,7.0,72.37851662404093,67.15381804895871,72.37851662404093,49.26876267564087,0.1096090610157106,0.1514386673397274,ESM,1.24,TRA,3,True,CDR3,both,True
76,5.0,3.0,82.3529411764706,81.80489587139203,82.3529411764706,46.66979306237904,0.1096090610157106,0.1330967169476486,ESM,1.33,TRA,3,True,CDR3,both,True
