,repertoire_id
661,7214293603210751510-242ac113-0001-012
662,5940008142568877590-242ac113-0001-012
663,1488275639816744470-242ac113-0001-012
664,5164832936012354026-242ac113-0001-012
665,790342354664877590-242ac113-0001-012
666,2434005383063989780-242ac117-0001-012
667,3207913825775456746-242ac113-0001-012
668,5986695061198868971-242ac118-0001-012
669,7975184584324747756-242ac117-0001-012
670,6824708946897474026-242ac113-0001-012
671,6648560510981631510-242ac113-0001-012
672,8821298780197360106-242ac113-0001-012
673,5985621319374868971-242ac118-0001-012
674,8539076479177200106-242ac113-0001-012
675,8730116410988031510-242ac113-0001-012
676,388263734250434070-242ac113-0001-012
677,8443052555282682346-242ac113-0001-012
678,81578956096147946-242ac113-0001-012
679,3892534773918274026-242ac113-0001-012
680,5982571892594708971-242ac118-0001-012
681,5987768803022868971-242ac118-0001-012
682,5979178872725836267-242ac118-0001-012
683,6018220121151508971-242ac118-0001-012
684,3215898960252441066-242ac113-0001-012
685,5559559939489197590-242ac113-0001-012
686,4965179415395757590-242ac113-0001-012
687,6406808628996674026-242ac113-0001-012
688,6018907320213836267-242ac118-0001-012
689,2432845741894069780-242ac117-0001-012
690,3530895366434656746-242ac113-0001-012
691,5986394413488148971-242ac118-0001-012
692,601879189716397590-242ac113-0001-012
693,8583583953955394026-242ac113-0001-012
694,385498737343917590-242ac113-0001-012
695,8392801506667074026-242ac113-0001-012
696,4228241031365267946-242ac113-0001-012
697,5099783690452397590-242ac113-0001-012
698,4285414941457837590-242ac113-0001-012
699,8869843524233794026-242ac113-0001-012
